;Postal Code;City;Administrative Region;Population;Area km²;Population density per km²;Median Age;Neighborhoods;Latitude;Longitude
42;10779;Berlin;Berlin;4323;0.571;7570.93;43.0;Bezirk Charlottenburg-Wilmersdorf, Bezirk Tempelhof-Schöneberg, Schöneberg;52.49460545296592;13.342733039081777
43;10781;Berlin;Berlin;4999;0.763;6551.77;43.0;Bezirk Tempelhof-Schöneberg, Schöneberg;52.4951423148389;13.355800656926238
44;10783;Berlin;Berlin;5694;0.707;8053.75;43.0;Bezirk Tempelhof-Schöneberg, Schöneberg;52.49865554794969;13.365333967395252
45;10785;Berlin;Berlin;13860;2.786;4974.87;43.0;Bezirk Tempelhof-Schöneberg, Mitte, Tiergarten;52.50998496078461;13.36658794289813
46;10787;Berlin;Berlin;5798;1.51;3839.74;43.0;Bezirk Charlottenburg-Wilmersdorf, Bezirk Tempelhof-Schöneberg, Mitte, Schöneberg, Tiergarten;52.509606630989495;13.346253879507326
47;10789;Berlin;Berlin;3751;0.444;8448.2;43.0;Bezirk Charlottenburg-Wilmersdorf, Bezirk Tempelhof-Schöneberg, Charlottenburg, Schöneberg;52.50397935448264;13.339471711239264
48;10823;Berlin;Berlin;5153;0.708;7278.25;43.0;Akazienkiez, Bezirk Tempelhof-Schöneberg, Schöneberg;52.489354849132745;13.355985156700102
49;10825;Berlin;Berlin;4332;0.668;6485.03;43.0;Bezirk Tempelhof-Schöneberg, Schöneberg;52.48552071113814;13.344334127891802
50;10827;Berlin;Berlin;4234;0.516;8205.43;43.0;Bezirk Tempelhof-Schöneberg, Schöneberg;52.48431868136053;13.35599278618992
51;10829;Berlin;Berlin;13994;2.102;6657.47;43.0;Bezirk Tempelhof-Schöneberg, Schöneberg;52.48175243531988;13.36428797703272
52;10961;Berlin;Berlin;7774;1.109;7009.92;43.0;Bergmannkiez, Bezirk Friedrichshain-Kreuzberg, Urban;52.49526260026651;13.400479377607542
53;10963;Berlin;Berlin;19507;2.771;7039.7;43.0;Bezirk Friedrichshain-Kreuzberg, Kreuzberg, Viktoriakiez;52.49796149839035;13.382686745085724
54;10965;Berlin;Berlin;8703;1.894;4595.04;43.0;Bezirk Friedrichshain-Kreuzberg, Bezirk Tempelhof-Schöneberg, Viktoriakiez;52.48701952919433;13.409109652419628
55;10967;Berlin;Berlin;6915;0.95;7278.95;43.0;Bezirk Friedrichshain-Kreuzberg, Bezirk Neukölln, Graefekiez, Kreuzberg;52.493905452084185;13.41837060521839
56;10969;Berlin;Berlin;15119;2.072;7296.81;43.0;Bezirk Friedrichshain-Kreuzberg, Kreuzberg, Moritzplatz;52.50459663171463;13.404576744007988
