Postal Code;City;Administrative Region;Population;Area km²
13403;Berlin;Berlin;21,620;3.733
13405;Berlin;Berlin;27,938;7.2
13407;Berlin;Berlin;28,400;4.434
13409;Berlin;Berlin;13,777;2.358
13435;Berlin;Berlin;11,830;2.27
13437;Berlin;Berlin;23,371;4.144
13439;Berlin;Berlin;11,834;2.064
13465;Berlin;Berlin;6,554;8
13467;Berlin;Berlin;13,751;5.9
13469;Berlin;Berlin;18,011;8
13503;Berlin;Berlin;20,756;16.8
13505;Berlin;Berlin;3,620;10.3
13507;Berlin;Berlin;26,645;8.8
13509;Berlin;Berlin;21,573;4.519
13581;Berlin;Berlin;25,775;4.172
13583;Berlin;Berlin;10,570;2.29
13585;Berlin;Berlin;14,861;2.831
13587;Berlin;Berlin;17,862;16.8
13589;Berlin;Berlin;15,489;7
13591;Berlin;Berlin;29,112;8.6
13593;Berlin;Berlin;20,594;5.8
13595;Berlin;Berlin;16,161;5.3
13597;Berlin;Berlin;20,837;4.105
13599;Berlin;Berlin;29,724;7.9
13627;Berlin;Berlin;22,640;4.469
13629;Berlin;Berlin;22,419;6.8
14050;Berlin;Berlin;13,473;3.35
14052;Berlin;Berlin;10,278;2.052
14053;Berlin;Berlin;7,127;2.753
14055;Berlin;Berlin;21,822;7.4
14057;Berlin;Berlin;10,494;1.444
14059;Berlin;Berlin;12,504;2.397
14089;Berlin;Berlin;23,604;24.1
14109;Berlin;Berlin;15,413;25.1
14129;Berlin;Berlin;8,782;11
14131;Berlin;Berlin;—;—
14163;Berlin;Berlin;17,951;6.7
14165;Berlin;Berlin;16,496;3.556
14167;Berlin;Berlin;30,500;5.6
14169;Berlin;Berlin;12,269;2.909
14193;Berlin;Berlin;28,038;32.3
14195;Berlin;Berlin;32,618;7.8
14197;Berlin;Berlin;8,761;1.365
14199;Berlin;Berlin;16,156;2.644
14532;Rudow;Berlin;40,638;77.5
15366;Neuenhagen bei Berlin;Brandenburg;31,235;46.5
15562;Berlin;Berlin;10,365;37.4
