Postal Code;Median Age;Neighborhoods;Latitude;Longitude
1093;36.3;Amsterdam-Oost, Dapperbuurt;52.36200861180301;4.927321113317876
1094;36.3;Amsterdam-Oost, Indische Buurt West;52.36235635819196;4.935957000886543
1095;36.3;Amsterdam-Oost, Indische Buurt Oost;52.36327357114145;4.943344125147395
1096;36.5;Amsterdam-Oost, De Omval;52.338084879848765;4.921823787560639
1097;36.3;Amsterdam-Oost, Stadsdeel Oost;52.346335010712274;4.931665155837801
1098;36.4;Amsterdam-Oost, Middenmeer;52.35248825076434;4.9389127341588015
1099;36.4;Duivendrecht;52.3265304797235;4.927960403828128
1101;36.4;Amsterdam-Zuidoost, Zuidoost;52.30765674297119;4.942380308889652
1102;36.4;Amsterdam-Zuidoost, Bijlmer-Centrum;52.31584609727451;4.95210017897229
1103;36.4;Amsterdam-Zuidoost, Bijlmer-Oost;52.32262590894408;4.973526415016303
1104;36.3;Amsterdam-Zuidoost;52.31672538871792;4.975781190219453
1105;36.4;Amsterdam-Zuidoost, Zuidoost;52.296122104935854;4.9534103957238935
1106;36.3;Amsterdam-Zuidoost;52.29881183624331;4.969301654218543
1107;36.3;Amsterdam-Zuidoost;52.293491680209655;4.979733214333633
1108;36.4;Amsterdam-Zuidoost, Nellestein;52.30801680751404;4.979697532301247
1109;36.6;Amsterdam-Zuidoost, Stadsdeel Zuid;52.30587881547819;5.0167189511499135
1114;42.3;Amsterdam-Oost, De Omval, Duivendrecht, Zuidoost;52.32729136342145;4.926695038493497
