;Neighborhood;Neighborhood Latitude;Neighborhood Longitude;Venue;Venue Latitude;Venue Longitude;Venue Category
0;10115;52.5337069545604;13.387223860255002;Gedenkstätte Berliner Mauer;52.534896052519215;13.390139937400818;Historic Site
1;10115;52.5337069545604;13.387223860255002;Dokumentationszentrum | Documentation Center (Dokumentationszentrum);52.53538550851109;13.389667868614197;History Museum
2;10115;52.5337069545604;13.387223860255002;BeachMitte;52.533821476902716;13.384628154016067;Volleyball Court
3;10115;52.5337069545604;13.387223860255002;Oslo Kaffebar;52.53102915837446;13.386889100074768;Coffee Shop
4;10115;52.5337069545604;13.387223860255002;Hotel i31;52.53110676192711;13.384270175108345;Hotel
5;10115;52.5337069545604;13.387223860255002;REWE;52.531612;13.388092;Supermarket
6;10115;52.5337069545604;13.387223860255002;The Castle;52.53163895030821;13.388372034743451;Beer Bar
7;10115;52.5337069545604;13.387223860255002;Kunstfabrik Schlot;52.53032503723989;13.385230374697477;Jazz Club
8;10115;52.5337069545604;13.387223860255002;Cô Chu Vietnamese Gourmet;52.53102164669438;13.384754859298212;Vietnamese Restaurant
9;10115;52.5337069545604;13.387223860255002;Eismieze Berlin;52.53033081480907;13.387170661008692;Ice Cream Shop
10;10115;52.5337069545604;13.387223860255002;Titanic Chaussee Berlin;52.53221498566308;13.381012498971051;Hotel
11;10115;52.5337069545604;13.387223860255002;BeachBar Mitte;52.53378252248922;13.384634340958044;Beach Bar
12;10115;52.5337069545604;13.387223860255002;19grams;52.53303691027667;13.380054366842362;Coffee Shop
13;10115;52.5337069545604;13.387223860255002;Café Bondi;52.530319398010086;13.387454917590597;Café
14;10115;52.5337069545604;13.387223860255002;Ökomarkt am Nordbahnhof;52.53207943563222;13.387372157331567;Farmers Market
15;10115;52.5337069545604;13.387223860255002;befine Sports & Spa;52.532833394652;13.381817883558163;Gym / Fitness Center
16;10115;52.5337069545604;13.387223860255002;Redwood;52.53167011240907;13.394338387116537;Cocktail Bar
17;10115;52.5337069545604;13.387223860255002;dm-drogerie markt;52.5309503;13.3851685;Drugstore
18;10115;52.5337069545604;13.387223860255002;+84;52.53263948958928;13.379511380072778;Vegetarian / Vegan Restaurant
19;10115;52.5337069545604;13.387223860255002;Schnitzelei;52.52856325875209;13.38722770446947;Schnitzel Restaurant
20;10115;52.5337069545604;13.387223860255002;distrikt COFFEE;52.53158959806963;13.39431876207094;Coffee Shop
21;10115;52.5337069545604;13.387223860255002;BrewDog;52.53280111922482;13.395788669586182;Beer Bar
22;10115;52.5337069545604;13.387223860255002;Petrarca;52.52914290417412;13.38831603527069;Italian Restaurant
23;10115;52.5337069545604;13.387223860255002;Alnatura;52.528486976569134;13.386047279562225;Organic Grocery
24;10115;52.5337069545604;13.387223860255002;EINS;52.529459790048676;13.388038964477568;German Restaurant
25;10115;52.5337069545604;13.387223860255002;The Barn;52.53057;13.383621;Coffee Shop
26;10115;52.5337069545604;13.387223860255002;Katz Orange;52.53151711600785;13.395215128658876;Restaurant
27;10115;52.5337069545604;13.387223860255002;H Gedenkstätte Berliner Mauer;52.53574979652019;13.390707636443713;Tram Station
28;10115;52.5337069545604;13.387223860255002;Nou Tango;52.53200565410527;13.380411242866813;Dance Studio
29;10115;52.5337069545604;13.387223860255002;Vom Einfachen das Gute;52.53243194347814;13.396565263319;Deli / Bodega
30;10115;52.5337069545604;13.387223860255002;Smart Deli;52.528094;13.38906;Japanese Restaurant
31;10115;52.5337069545604;13.387223860255002;La Femme;52.532357319903646;13.380478620529175;Breakfast Spot
32;10115;52.5337069545604;13.387223860255002;Museum für Naturkunde;52.53027102772721;13.379281262570908;Science Museum
33;10115;52.5337069545604;13.387223860255002;Les Pâtisseries de Sébastien;52.532461994787546;13.396976563017251;Pastry Shop
34;10115;52.5337069545604;13.387223860255002;Dorotheenstädtischer Friedhof;52.52874576715398;13.384013459230324;Cemetery
35;10115;52.5337069545604;13.387223860255002;Villa Elisabeth;52.532920653298135;13.396740223514648;Event Space
36;10115;52.5337069545604;13.387223860255002;Ballhaus Berlin;52.532087903414855;13.380344420285835;Nightclub
37;10115;52.5337069545604;13.387223860255002;Papà Pane di Sorrento;52.532088288499686;13.396228061281452;Italian Restaurant
38;10115;52.5337069545604;13.387223860255002;Factory Kitchen;52.53744922779283;13.39471407352591;Restaurant
39;10115;52.5337069545604;13.387223860255002;Café Schrittfahren;52.535094148926184;13.377506694767185;Café
40;10115;52.5337069545604;13.387223860255002;Krøhan Bress;52.531950175522105;13.396177308443127;Smoke Shop
41;10115;52.5337069545604;13.387223860255002;Garden Living;52.52951922051093;13.380409495858029;Hotel
42;10115;52.5337069545604;13.387223860255002;Karaca;52.53172205686423;13.381594054043058;Coffee Shop
43;10115;52.5337069545604;13.387223860255002;Pascarella;52.53224028238963;13.380982905663293;Trattoria/Osteria
44;10115;52.5337069545604;13.387223860255002;Alt Berlin;52.532182777021156;13.380578071432847;Pub
45;10115;52.5337069545604;13.387223860255002;EDEKA Sapphire;52.5343735;13.3789948;Supermarket
46;10115;52.5337069545604;13.387223860255002;Toca Rouge;52.528344;13.392021;Chinese Restaurant
47;10115;52.5337069545604;13.387223860255002;dm-drogerie markt;52.5338381;13.3793339;Drugstore
48;10115;52.5337069545604;13.387223860255002;Hackethal's;52.536452503661856;13.37956130504608;German Restaurant
49;10115;52.5337069545604;13.387223860255002;The Rabbit Café;52.535419124401905;13.395192247626468;Café
50;10115;52.5337069545604;13.387223860255002;Chelany;52.52759924833187;13.388777375221252;Indian Restaurant
