;Neighborhood;Neighborhood Latitude;Neighborhood Longitude;Venue;Venue Latitude;Venue Longitude;Venue Category
0;1011;52.371124001377325;4.9037523024165015;De Sluyswacht;52.369776885000185;4.9015158216869406;Bar
1;1011;52.371124001377325;4.9037523024165015;Black Gold;52.37178743505324;4.9030559201106465;Coffee Shop
2;1011;52.371124001377325;4.9037523024165015;Luxury Suites Amsterdam;52.37032;4.90315;Hotel
3;1011;52.371124001377325;4.9037523024165015;HPS;52.3716834983565;4.907673129617846;Cocktail Bar
4;1011;52.371124001377325;4.9037523024165015;Soup en Zo;52.369083401323024;4.902446523327752;Soup Place
5;1011;52.371124001377325;4.9037523024165015;Gassan Diamonds HQ;52.36951859261546;4.903788943198285;Jewelry Store
6;1011;52.371124001377325;4.9037523024165015;Het Rembrandthuis;52.3693502569621;4.901331961154938;History Museum
7;1011;52.371124001377325;4.9037523024165015;Restaurant Gebr. Hartering;52.37157742883479;4.9074548241114195;Restaurant
8;1011;52.371124001377325;4.9037523024165015;MOAK Pancakes City Center;52.36887810246066;4.9030405690447765;Creperie
9;1011;52.371124001377325;4.9037523024165015;Olijfje;52.36895590690755;4.905194857705091;Mediterranean Restaurant
10;1011;52.371124001377325;4.9037523024165015;Tony's NYC Bagel;52.36899282292329;4.902861779577559;Bagel Shop
11;1011;52.371124001377325;4.9037523024165015;Rosalia's Menagerie;52.3716780431221;4.899174389497594;Cocktail Bar
12;1011;52.371124001377325;4.9037523024165015;Nieuwmarkt;52.372566530453255;4.900320768356323;Plaza
13;1011;52.371124001377325;4.9037523024165015;Café Fonteyn;52.37241434863293;4.900444227866877;Bar
14;1011;52.371124001377325;4.9037523024165015;Episode;52.369047139612405;4.90067924547512;Thrift / Vintage Store
15;1011;52.371124001377325;4.9037523024165015;The Hendrick's Hotel;52.373597;4.906002;Hotel
16;1011;52.371124001377325;4.9037523024165015;OCHA;52.37402436900276;4.901682513396316;Thai Restaurant
17;1011;52.371124001377325;4.9037523024165015;Vincent Kaas & Vlees;52.37292886039606;4.900333141590537;Deli / Bodega
18;1011;52.371124001377325;4.9037523024165015;Latei;52.37329242076871;4.9002793390171755;Café
19;1011;52.371124001377325;4.9037523024165015;4 Cats Kattenspeciaalzaak;52.3683891;4.9025998;Pet Store
20;1011;52.371124001377325;4.9037523024165015;De Engelbewaarder;52.370231;4.898451;Bar
21;1011;52.371124001377325;4.9037523024165015;New King;52.373592111315155;4.9002842900895525;Chinese Restaurant
22;1011;52.371124001377325;4.9037523024165015;STACH food;52.371004437786475;4.898924662635418;Grocery Store
23;1011;52.371124001377325;4.9037523024165015;YoYo! Fresh Tea Bar;52.37406451609463;4.900333527297094;Tea Room
24;1011;52.371124001377325;4.9037523024165015;Excalibur;52.37396993308152;4.899574483357959;Bar
25;1011;52.371124001377325;4.9037523024165015;misc eatdrinksleep;52.37172;4.899032;Hotel
26;1011;52.371124001377325;4.9037523024165015;IJssalon Tofani;52.37181812456507;4.89932196667484;Ice Cream Shop
27;1011;52.371124001377325;4.9037523024165015;Toko Dun Yong;52.374323203331144;4.900986250361616;Grocery Store
28;1011;52.371124001377325;4.9037523024165015;Nationale Opera & Ballet (Nationale Opera & Ballet (Stopera));52.367411209079556;4.901275634765625;Opera House
29;1011;52.371124001377325;4.9037523024165015;'t Tuinfeest;52.37327243258841;4.901152522588164;Café
30;1011;52.371124001377325;4.9037523024165015;Slagerij Vet;52.3740108992678;4.900318697094399;Butcher
31;1011;52.371124001377325;4.9037523024165015;De Hapjeshoek;52.36728945690407;4.902028933557249;South American Restaurant
32;1011;52.371124001377325;4.9037523024165015;Old Sailor;52.37374872404131;4.899375241966765;Bar
33;1011;52.371124001377325;4.9037523024165015;'t Loosje;52.37232518464915;4.899890131039555;Bar
34;1011;52.371124001377325;4.9037523024165015;Red Light Bar;52.37327308873247;4.898841360072124;Bar
35;1011;52.371124001377325;4.9037523024165015;Hoi Tin;52.373470756627555;4.900077194603488;Chinese Restaurant
36;1011;52.371124001377325;4.9037523024165015;Mike's Bike Tours;52.371628289799766;4.910411604128082;Bike Rental / Bike Share
37;1011;52.371124001377325;4.9037523024165015;Questomatica;52.371161737623794;4.910253410275517;Arcade
38;1011;52.371124001377325;4.9037523024165015;De Valk;52.370446251038736;4.908947231565577;Breakfast Spot
39;1011;52.371124001377325;4.9037523024165015;SPAR city Rapenburg;52.37055431585084;4.910019639109471;Convenience Store
40;1012;52.37317944319243;4.894910272622594;Wynand Fockink;52.37230074036698;4.895253277609685;Liquor Store
41;1012;52.37317944319243;4.894910272622594;Scheltema;52.37220458591638;4.893175115256038;Bookstore
42;1012;52.37317944319243;4.894910272622594;Dam;52.37300539279099;4.892928600311278;Plaza
43;1012;52.37317944319243;4.894910272622594;Old Amsterdam Cheese Store;52.37486200638898;4.895301176842613;Cheese Shop
44;1012;52.37317944319243;4.894910272622594;Proeflokaal De Drie Fleschjes;52.374202693253054;4.89223921638973;Bar
45;1012;52.37317944319243;4.894910272622594;Cut Throat;52.37448598409153;4.89562311048386;Salon / Barbershop
46;1012;52.37317944319243;4.894910272622594;Café van Kerkwijk;52.37149449808745;4.893658419116752;Café
47;1012;52.37317944319243;4.894910272622594;Sofitel Legend The Grand Amsterdam;52.371092886381604;4.8954104782092145;Hotel
48;1012;52.37317944319243;4.894910272622594;De Bijenkorf;52.37375309999999;4.895270600000001;Department Store
49;1012;52.37317944319243;4.894910272622594;Van der Linde;52.37485279493881;4.894192565484893;Ice Cream Shop
